site;title;link;
Globo;Médico da Prevent Sênior relata à polícia ameaças de diretor;"https://oglobo.globo.com/politica/medico-que-denunciou-prevent-senior-vai-policia-relata-ameacas-de-diretor-da-empresa-que-esta-na-mira-da-cpi-da-covid-25207699?utm_source=globo.com&utm_medium=oglobo";
Globo;CPI ouve diretor da Prevent Senior sobre mortes em estudo, SIGA;"https://g1.globo.com/politica/ao-vivo/senado-cpi-da-pandemia.ghtml";
Globo;'Só podemos terminar a CPI depois de ouvir Queiroga', diz Renan a blog;"https://g1.globo.com/politica/blog/gerson-camarotti/post/2021/09/22/cpi-so-pode-terminar-depois-de-ouvir-queiroga-diz-renan.ghtml";
Globo;Maracanã amanhece com muitas filas antes de Fla x Barcelona-EQU;"https://ge.globo.com/futebol/times/flamengo/noticia/maracana-amanhece-com-muitas-filas-antes-de-flamengo-x-barcelona-veja-servico.ghtml";
Globo;Novo titular, David Luiz impressiona Renato em jogo-treino;"https://ge.globo.com/futebol/times/flamengo/noticia/perto-da-estreia-pelo-flamengo-david-luiz-impressiona-renato-com-bons-numeros-e-jogo-treino.ghtml";
Globo;'Extra': Fla não descarta acerto relâmpago até 6ª com Dani Alves;"https://extra.globo.com/esporte/flamengo/flamengo-esfria-movimentacao-por-daniel-alves-mas-nao-descarta-acerto-relampago-ate-sexta-feira-25207237.html";
Globo;Abel sobre irritação de Dudu: 'Deve ter ficado chateado com jogo dele';"https://ge.globo.com/futebol/times/palmeiras/noticia/noticias-palmeiras-dudu-irritado-substituicao-abel-conversa.ghtml";
Globo;Hulk erra pênalti e se diz 'culpado';"https://ge.globo.com/futebol/times/atletico-mg/noticia/apos-errar-penalti-hulk-assume-responsabilidade-por-empate-do-atletico-mg-culpado-sou-eu.ghtml";
Globo;Blog: times podem oferecer mais;"https://ge.globo.com/blogs/blog-do-mansur/post/2021/09/22/palmeiras-e-atletico-tem-talento-suficiente-para-oferecer-mais-ao-espetaculo.ghtml";
Globo;Timão adota cautela mesmo com Paulinho livre no mercado;"https://ge.globo.com/futebol/times/corinthians/noticia/entenda-por-que-o-corinthians-nao-tem-pressa-por-paulinho.ghtml";
Globo;Girassol, Sandra de Sá é a 6ª desmascarada e não segura emoção, resumão;"https://gshow.globo.com/realities/the-masked-singer-brasil/noticia/choro-de-sandra-de-sa-e-declaracao-de-alexandre-borges-tudo-sobre-o-sexto-episodio-de-the-masked-singer-brasil.ghtml";
Globo;'Todo mundo sabia que era eu', diz Sandra de Sá no Bate-Papo;"https://gshow.globo.com/realities/the-masked-singer-brasil/bate-papo-the-masked-singer-brasil/noticia/sandra-de-sa-comenta-emocao-em-participar-do-programa-todo-mundo-sabia-que-era-eu-acho-isso-incrivel.ghtml";
Globo;Vídeo mostra detalhes da transformação de Mari Rios em Lady Gaga;"https://gshow.globo.com/programas/domingao-com-huck/show-dos-famosos/noticia/veja-a-caracterizacao-de-mariana-rios-em-lady-gaga-no-show-dos-famosos.ghtml";
Globo;'Hipertensão' fez última edição há 10 anos entre cobras e baratas;"https://gshow.globo.com/realities/noticia/hipertensao-completa-10-anos-da-ultima-temporada-e-ja-teve-carolina-dieckmann-e-luciano-huck-veja-curiosidades.ghtml";
Globo;Clemência receberá cantada de novo hóspede do hotel;"https://gshow.globo.com/novelas/nos-tempos-do-imperador/vem-por-ai/noticia/clemencia-recebera-cantada-de-novo-hospede-em-nos-tempos-do-imperador.ghtml";
Globo;Pedro e Luísa têm briga feia depois que ele decide assumir filho;"https://kogut.oglobo.globo.com/noticias-da-tv/novelas/noticia/2021/09/nos-tempos-do-imperador-pedro-e-luisa-tem-briga-feia-depois-que-ele-decide-assumir-o-filho-com-ela.html?utm_source=globo.com&utm_medium=oglobo";
Globo;Advogada que fez dossiê contra a Prevent cita furto;"https://oglobo.globo.com/politica/advogada-de-dossie-da-prevent-senior-relata-cpi-da-covid-roubo-misterioso-em-seu-escritorio-25207764?utm_source=globo.com&utm_medium=oglobo";
Globo;'Nós não vamos parar', diz advogada de médicos;"https://oglobo.globo.com/politica/nos-nao-vamos-parar-diz-advogada-de-medicos-que-fizeram-dossie-sobre-prevent-senior-25207332?utm_source=globo.com&utm_medium=oglobo";
