title;link;
Nos postos, preço médio da gasolina sobe pela 8ª semana seguida;"https://g1.globo.com/economia/noticia/2021/09/25/preco-medio-da-gasolina-sobe-pela-8a-semana-seguida-nos-postos-mostra-anp.ghtml";
Brasileiros usam gás de cozinha em carro, conversão é perigosa e ilegal;"https://epocanegocios.globo.com/Brasil/noticia/2021/09/com-gasolina-cara-brasileiros-se-arriscam-com-gas-de-cozinha-em-carro.html";
Gabriel Jesus brilha, e City bate Chelsea;"https://ge.globo.com/futebol/futebol-internacional/futebol-ingles/jogo/25-09-2021/Chelsea-Manchestercity.ghtml";
Novo papai: atacante anuncia gravidez da namorada na web;"https://revistaquem.globo.com/QUEM-News/noticia/2021/09/apos-marcar-gol-gabriel-jesus-anuncia-que-sera-pai.html";
Líder, Liverpool iguala o placar com o Brentford, SIGA os lances;"https://ge.globo.com/futebol/futebol-internacional/futebol-ingles/jogo/25-09-2021/brentford-Liverpool.ghtml";
Bruno Fernandes isola pênalti, e United perde do Aston Villa;"https://ge.globo.com/futebol/futebol-internacional/futebol-ingles/jogo/25-09-2021/Manchesterunited-Astonvilla.ghtml";
RB Leipzig volta a vencer e massacra o Hertha;"https://ge.globo.com/futebol/futebol-internacional/futebol-alemao/noticia/rb-leipzig-volta-a-vencer-e-massacra-o-hertha-ex-river-borre-faz-1o-gol-pelo-eintracht-frankfurt.ghtml";
São Paulo pega líder sem vitória contra o G-6;"https://ge.globo.com/futebol/times/sao-paulo/noticia/sao-paulo-enfrenta-o-lider-sem-ter-vencido-nenhuma-equipe-do-g-6-no-brasileirao-veja-numeros.ghtml";
Simone se emociona ao falar da irmã: 'Vim com a missão de cuidar dela';"https://gshow.globo.com/programas/e-de-casa/noticia/simone-se-emociona-ao-falar-da-irma-a-cantora-simaria-vim-nessa-terra-com-a-missao-de-cuidar-dela.ghtml";
Huck e Angélica fazem homenagem a Eva pelo aniversário de 9 anos;"https://revistaquem.globo.com/QUEM-News/noticia/2021/09/luciano-huck-celebra-aniversario-da-filha-princesa-moderna.html";
Luísa lançará bomba: 'Eu estou grávida, Pedro!';"https://gshow.globo.com/novelas/nos-tempos-do-imperador/vem-por-ai/noticia/em-nos-tempos-do-imperador-luisa-lancara-bomba-eu-estou-gravida-pedro.ghtml";
Pilar descobre segredo da condessa;"https://kogut.oglobo.globo.com/noticias-da-tv/novelas/noticia/2021/09/nos-tempos-do-imperador-pilar-descobre-o-grande-segredo-da-condessa-depois-de-salvar-vida-dela.html?utm_source=globo.com&utm_medium=oglobo";
Mil dias de governo prevê inauguração de 10km de asfalto;"https://oglobo.globo.com/politica/bolsonaro-vai-comemorar-mil-dias-de-governo-com-inauguracao-de-10km-de-asfalto-25212959?utm_source=globo.com&utm_medium=oglobo";
Posts viram pistas, mas uso em tribunais é limitado;"https://oglobo.globo.com/brasil/seguranca-publica/posts-em-redes-sociais-viram-pistas-em-investigacoes-mas-uso-em-tribunais-limitado-25212716?utm_source=globo.com&utm_medium=oglobo";
Cume do vulcão de La Palma sofre ruptura parcial;"https://oglobo.globo.com/mundo/cume-do-vulcao-de-la-palma-sofre-ruptura-parcial-em-meio-fechamento-de-aeroporto-25212929?utm_source=globo.com&utm_medium=oglobo";
Terremotos e explosões acordam ilha espanhola;"https://g1.globo.com/mundo/noticia/2021/09/25/brasileira-que-vive-em-ilha-com-vulcao-em-erupcao-mostra-como-ficou-la-palma-coberta-por-cinzas-veja-video.ghtml";
Talibã mata e pendura corpos de supostos sequestradores;"https://oglobo.globo.com/mundo/taliba-mata-exibe-corpos-de-supostos-sequestradores-em-cidade-do-afeganistao-25212948?utm_source=globo.com&utm_medium=oglobo";
